"Story","Title","Result","Date","Stability","Duration (s)"
"Pet CRUD test","This will add a pet information","SUCCESS","2023-01-10T23:06:57.181Z[Europe/London]","0.0","13.1"
"Pet CRUD test","This will find pet information by petID","SUCCESS","2023-01-10T23:07:10.395Z[Europe/London]","0.0","1.01"
"Pet CRUD test","This will update pet information","SUCCESS","2023-01-10T23:07:11.406Z[Europe/London]","0.0","0.57"
"Pet CRUD test","Deleting pet info and verifying pet info is delted","SUCCESS","2023-01-10T23:07:11.975Z[Europe/London]","0.0","1.08"
